School,GPA,GRE,Program Type,Application Location,Date,Round,Post-MBA Career,Note
Yale SOM,3.9,335.0,,China/Boston,2020-03-24,Round 2,,with 15K/year scholarship.
Yale SOM,3.83,335.0,,"Berkeley, CA",2020-03-24,Round 2,Non Profit / Social Impact,Got the email to check the portal at 1:16pm Pacific time. Accepted with scholarship offer.
Berkeley / Haas,3.9,335.0,,"San Francisco, CA",2020-03-24,Round 2,Technology,Phone call just now from a 510 number while playing the piano (taking a break from working) at home stuck in COVID quarantine. Super excited excited excited! Hope everyone else gets the phone call soon too!
Berkeley / Haas,3.7,335.0,Traditional Two-Year,"Beijing, China",2023-03-21,Round 2,Other,"got the email with a zoom meeting invite, just finished the meeting. Good luck everyone out there."
Harvard Business School,3.9,335.0,,,2020-03-31,Round 2,Other,So excited to join and meet the fellow classmates and accepted folks! Zoom meeting anyone?
Yale SOM,3.79,335.0,,,2018-06-19,Round 2,,
Harvard Business School,3.75,335.0,Traditional Two-Year,Chicago,2024-03-27,Round 2,Other,"Rejected from Booth and didn't get GSB call, so I was holding my breath until this very exact moment. Truly appreciate the support of this community (thanks Mike and team), and hang in there everyone!"
Berkeley / Haas,3.57,335.0,Traditional Two-Year,Washington D.c,2022-03-22,Round 2,Non Profit / Social Impact,
Stanford GSB,3.83,335.0,,"Berkeley, CA",2020-04-02,Round 2,Non Profit / Social Impact,Received the call at 2:15pm Pacific time yesterday (April 1).
Yale SOM,3.6,335.0,Traditional Two-Year,Boston,2021-12-03,Round 1,Finance,
Stanford GSB,3.5,335.0,,DC,2020-05-20,Round 3,Entrepreneurship,Regular applicant
Berkeley / Haas,3.707,335.0,,,2019-12-10,Round 1,,
Oxford / Saïd,3.83,335.0,,"Berkeley, CA",2020-03-20,Round 3,Non Profit / Social Impact,
Yale SOM,3.9,335.0,,,2020-03-24,Round 2,,
Columbia,3.71,335.0,Traditional Two-Year,NYC,2024-03-20,Round 2,Finance,"Got an email at 2:25, stoked to get in! IB/PE background"
Columbia,3.95,335.0,,New Delhi,2021-01-20,Rolling Admissions,Consulting,Submitted Application on 11/23; Interviewed on 1/8; Interviewer Feedback submitted on 1/11; Received a call from Admissions on 1/19. So happy!
Columbia,3.7,335.0,Traditional Two-Year,SF,2024-03-20,Round 2,Entrepreneurship,
Yale SOM,3.55,335.0,,China,2021-03-29,Round 2,,
Berkeley / Haas,3.32,335.0,Traditional Two-Year,Los Angeles,2023-03-21,Round 2,Entrepreneurship,Got the call around 11:45 am PT this morning! Really excited about this one! No info about scholarships given on my call either (seems in line with some other posts here)
Stanford GSB,3.9,334.0,,San Francisco,2019-12-11,Round 1,,
Stanford GSB,3.81,334.0,Traditional Two-Year,Virginia,2023-12-05,Round 1,General Management,Received call at 4:30pm
Berkeley / Haas,3.9,334.0,Traditional Two-Year,Atlanta,2023-12-05,Round 1,Technology,Called at ~6p EST
Berkeley / Haas,3.81,334.0,Traditional Two-Year,,2023-12-06,Round 1,,Call 5pm EST
Stanford GSB,3.74,334.0,,New York,2020-12-08,Round 1,Consulting,Lovely & highly personalized call from Kirsten! Called at 8pm ET
MIT Sloan,4.0,334.0,Traditional Two-Year,India,2023-03-08,Round 2,Operations Management,MIT LGO Program
Stanford GSB,3.98,334.0,,NYC,2021-05-18,Round 3,Entrepreneurship,Deferred admit
Columbia,3.8,334.0,,NY,2019-01-22,Rolling Admissions,Other,applied 11/4; interview 1/7
Harvard Business School,3.9,334.0,,India,2020-03-31,Round 2,Entrepreneurship,Accepted to the MBA+MS dual degree by HBS and GSAS!
Columbia,3.98,334.0,,NYC,2021-05-11,Round 3,Entrepreneurship,deferred enrollment
Yale SOM,3.71,334.0,Traditional Two-Year,DC,2024-03-26,Round 2,Consulting,"Opted out of a phone call, received email 1043 ET"
Harvard Business School,3.71,334.0,Traditional Two-Year,NAMR,2021-12-09,Round 1,Healthcare,MS/MBA Biotechnology
Yale SOM,3.74,334.0,Traditional Two-Year,,2022-03-11,Round 2,,
Berkeley / Haas,3.71,334.0,Traditional Two-Year,DC,2024-03-19,Round 2,Non Profit / Social Impact,
Yale SOM,3.9,334.0,,,2019-05-21,Round 3,Other,
Yale SOM,3.6,334.0,,Florida,2020-12-08,Round 1,Operations Management,
Yale SOM,3.74,334.0,,New York,2020-12-08,Round 1,Consulting,
Berkeley / Haas,3.55,334.0,Traditional Two-Year,Africa,2023-12-06,Round 1,Consulting,I received an email to schedule a Zoom call around 11 p.m. ET. Accepted with $80K
Yale SOM,3.85,334.0,,NYC,2017-12-06,Round 1,Non Profit / Social Impact,was admitted last year 2nd round (did not receive deferral). Didn’t interview this time so was afraid it would be a WL situation. Very surprised and excited! See everyone at welcome weekend.
Yale SOM,3.8,333.0,,,2020-05-19,Round 3,Other,
Stanford GSB,4.0,333.0,,West Coast,2021-05-18,Round 3,Healthcare,Deferred (college senior)
Stanford GSB,3.83,333.0,Traditional Two-Year,New York City,2022-12-07,Round 1,Entrepreneurship,Call from Kristen at 12:20pm EST
Berkeley / Haas,3.8,333.0,,,2020-05-06,Round 3,,
Columbia,3.6,333.0,January Intake,India,2021-09-22,Early Decision,Entrepreneurship,
Columbia,3.96,333.0,Deferred Enrollment,Asia,2021-05-26,Rolling Admissions,Non Profit / Social Impact,Applied 15/4
Harvard Business School,3.96,333.0,Deferred Enrollment,Southeast Asia,2021-07-07,Round 2,Entrepreneurship,"None of the questions I prepped for actually came up in the interview, but I think this gave me the opportunity to just really be authentic. Good luck to everyone else !"
MIT Sloan,3.96,333.0,Deferred Enrollment,Asia,2021-06-07,Round 2,Entrepreneurship,HOLY COW IM OVER THE MOON. I CAN'T BELIEVE I GOT INTO THE EARLY ADMISSIONS PROGRAM WHAT. Super duper grateful!
Columbia,3.54,333.0,Traditional Two-Year,East Coast,2022-10-20,Early Decision,Consulting,"Application Completed 8/31, Interview Invite 9/21, Interview Feedback 10/3, Accepted 10/19. My application definitely did not move quickly, but I'm very excited to be attending Columbia!"
Columbia,3.3,333.0,January Intake,Korea,2022-08-19,Rolling Admissions,,"I am admitted to Class of 2024 CBS MBA (J-term) Here is my timeline: 7/10 Completed my application, 7/25 Interview Invite, 8/10 Interview, 8/11 Feedback submitted, 8/19 Accepted via admit call"
Stanford GSB,3.8,333.0,Traditional Two-Year,San Francisco,2022-03-30,Round 2,Technology,super excited and still can't believe it. Fingers crossed for those still waiting!!
Yale SOM,3.8,333.0,Traditional Two-Year,Missouri,2022-03-28,Round 2,Healthcare,"Silver Scholars Program, interview 2/19, this is my first choice program. No phone call, just update on portal, but Yale is very...welcoming, like sending 2 welcome email per day even during weekend."
Yale SOM,3.39,333.0,Traditional Two-Year,NYC,2023-03-24,Round 2,Non Profit / Social Impact,Applied via Consortium. Interview on-campus on the first 'Super day' in early Feb. $50k scholarship
MIT Sloan,3.0,333.0,,Boston,2020-02-28,Round 2,Operations Management,LGO not regular MBA
Yale SOM,4.0,333.0,Traditional Two-Year,Baku,2022-03-25,Round 2,Technology,
Oxford / Saïd,3.5,333.0,One Year Program,UK,2022-03-16,Round 3,Consulting,
Yale SOM,3.95,333.0,Traditional Two-Year,USA,2022-12-07,Round 1,Healthcare,$40K scholarship
Harvard Business School,3.4,333.0,,"Boston, MA",2021-03-30,Round 2,Entrepreneurship,
Berkeley / Haas,3.61,333.0,Traditional Two-Year,NYC,2023-03-21,Round 2,Non Profit / Social Impact,Not clear on scholarships yet- on my status page at the bottom there’s a little table that includes “designated forte fellow” but under the column amount awarded it’s empty- anyone know what that means?
Columbia,3.8,333.0,Traditional Two-Year,"Washington, DC",2022-03-08,Round 2,Finance,Interview 2/17
Berkeley / Haas,3.39,333.0,Traditional Two-Year,NYC,2023-03-21,Round 2,Entrepreneurship,Applied via Consortium. Called Tuesday evening with the good news. I couldn't hear very well- not sure what was said re: Fellowships or scholarships.
Columbia,3.64,333.0,Traditional Two-Year,NYC,2022-02-23,Round 2,Consulting,"R2 Consortium; Interviewed 2/11, interviewer submitted feedback the same day"
MIT Sloan,3.8,333.0,Traditional Two-Year,,2021-12-15,Round 1,,
Columbia,3.8,333.0,,NYC,2020-10-23,Early Decision,Consulting,
Yale SOM,3.53,333.0,Traditional Two-Year,"Lagos, Nigeria",2024-03-26,Round 2,Finance,Got into the Yale MSc Asset Management as well
Stanford GSB,3.89,333.0,,UAE / Malaysia,2019-03-27,Round 2,Other,"Good luck guys. My heart stopped for a few seconds when the phone rang (a few minutes ago). (Not that it was beating normally - I was moping the entire day, filled with anxiety and nervousness and lskajflaksdja;lkdsgja;lsgjasdl;kgjasd;lkgjasdg;lkjsadg;lkjsadgl;kasjdgl;)"
Yale SOM,3.6,333.0,Traditional Two-Year,US,2023-12-05,Round 1,,Accepted with $$!!! So grateful!
Stanford GSB,3.83,333.0,Traditional Two-Year,San Francisco,2024-03-26,Round 2,Technology,Received the call at 4:40 pm PT- I almost counted myself out! 🎉
MIT Sloan,4.0,333.0,Traditional Two-Year,"Boston, MA",2024-02-27,Round 1,Healthcare,MIT LGO. Stoked to have gotten the call!
MIT Sloan,3.4,333.0,,,2021-02-26,Round 1,Entrepreneurship,LGO— pulled up from waitlist!
Berkeley / Haas,3.5,333.0,Traditional Two-Year,East Coast,2023-12-07,Round 1,General Management,Thrilled with 50% scholarship
Yale SOM,3.62,333.0,Traditional Two-Year,Boston,2024-05-16,Round 3,Consulting,Applied for R2 but got waitlisted. Received a call around 9 am this morning. Never lose hope!
Berkeley / Haas,3.7,333.0,,,2020-12-15,Round 1,,
Yale SOM,3.5,333.0,Traditional Two-Year,,2023-12-05,Round 1,General Management,"Received text, will receive additional info (e.g., scholarship) in portal at 5"
Harvard Business School,3.8,333.0,Traditional Two-Year,San Francisco,2024-05-29,Round 2,Technology,"Admitted off the waitlist today! Happy and grateful, deciding between HBS and the GSB."
Berkeley / Haas,3.81,332.0,Deferred Enrollment,USA,2023-06-20,Round 1,,"Deferred applicant, admitted today over phone & on portal!! Super stoked!"
Columbia,3.22,332.0,Traditional Two-Year,,2023-12-13,Round 1,Consulting,
Columbia,3.22,332.0,Traditional Two-Year,,2023-12-13,Round 1,Consulting,
MIT Sloan,3.5,332.0,Traditional Two-Year,Washington DC,2023-04-03,Round 3,Technology,"got an email admitting from early admit group - has anyone heard about scholarships? if there wasn't reference to one, is it safe to assume I didn't get anything?"
MIT Sloan,3.74,332.0,Traditional Two-Year,East Coast,2023-12-12,Round 1,Non Profit / Social Impact,
Harvard Business School,3.82,332.0,Traditional Two-Year,Seattle,2023-03-29,Round 2,Non Profit / Social Impact,over the freaking moon. now just need to decide how much debt i can swallow! got into cbs and yale som with scholarship but assuming i won't get any at hbs.
Stanford GSB,3.9,332.0,,Mid-Atlantic,2020-12-08,Round 1,Non Profit / Social Impact,
Yale SOM,3.82,332.0,Traditional Two-Year,Seattle,2023-03-24,Round 2,,Accepted w 80K fellowship (comes out to about 50% of tuition covered!) Super happy. So far also been accepted at Columbia and rejected at Haas. Still waiting on Stanford and HBS.
Columbia,3.8,332.0,Traditional Two-Year,Los Angeles,2023-12-13,Round 1,Entrepreneurship,Received an email about an update on the portal this morning around 8am PST. No info about scholarships. Super excited!
Yale SOM,3.7,332.0,,,2018-05-17,Round 3,,
Columbia,3.6,332.0,,Taiwan,2017-10-12,Early Decision,Technology,Timeline: 9/2 Submit 9/26 Interview invite 10/7 Interview 10/9 Feedback 10/12 Offer. Good luck to everyone!
Harvard Business School,3.9,332.0,Deferred Enrollment,,2021-07-07,Round 5,Entrepreneurship,2+2 program
Columbia,3.8,332.0,,,2020-06-26,Rolling Admissions,,Deferred Admit - interviewed Monday. Can't wait!
Stanford GSB,3.6,332.0,,,2020-05-20,Round 3,,
Yale SOM,3.8,332.0,,,2020-05-19,Round 3,,
Oxford / Saïd,3.6,332.0,,USA,2018-03-09,Round 2,Entrepreneurship,
Columbia,3.3,332.0,,New York,2020-10-15,Early Decision,,"Timeline for those interested: Applied 9/15, Interview invitation 10/6, Interview 10/9, Report submitted 10/12, Accepted by phone today! Beyond thrilled and grateful. Good luck to all."
MIT Sloan,3.9,332.0,,Boston MA,2020-12-16,Round 1,Non Profit / Social Impact,"My interviewer called at 3:45, and she mentioned she was running behind calling folks."
Harvard Business School,3.8,332.0,Traditional Two-Year,Boston,2024-03-27,Round 2,General Management,"Deferred from R1, then interviewed and accepted in R2. Literally cried and over the moon now. Debating between $$$ at Wharton and HBS (leaning towards the latter!)"
Stanford GSB,3.4,332.0,Traditional Two-Year,,2024-03-27,Round 2,Entrepreneurship,So happy!!!!! Cried and called my family about it.
Berkeley / Haas,3.96,332.0,Traditional Two-Year,San Francisco,2024-03-19,Round 2,Consulting,
MIT Sloan,3.95,332.0,,Boston,2020-03-31,Round 2,Consulting,Got the call at 2:16 EST.
Yale SOM,2.6,332.0,Traditional Two-Year,"Lima, Peru",2024-03-26,Round 2,Consulting,I got the call around 11:45 ET
Berkeley / Haas,3.5,332.0,Traditional Two-Year,Bay Area,2021-12-13,Round 1,,Got a call from AdCom at about 5:45 PT. Interview invite 11/4. Interviewed 11/30. Invited to and attended 2 mock classes in early Dec.
Berkeley / Haas,3.5,332.0,Traditional Two-Year,Washington DC,2021-12-14,Round 1,Technology,
Yale SOM,3.62,332.0,,,2018-12-05,Round 1,Consulting,
MIT Sloan,3.5,332.0,,D.C.,2018-12-19,Round 1,Entrepreneurship,Call from Dawna
Yale SOM,3.95,332.0,,Boston,2020-03-24,Round 2,Consulting,Received call @ 8:40 AM EST.
Yale SOM,3.9,332.0,,Toronto,2021-03-26,Round 2,Consulting,"chose to be notified via e-mail, no portal update yet, e-mail mentioned scholarship but not amount"
Columbia,3.91,332.0,Traditional Two-Year,,2023-02-28,Rolling Admissions,,Right on schedule - asked to interview 4 weeks after submitting my application and decision 2 more weeks after that.
Yale SOM,3.68,332.0,,East Coast USA,2019-12-04,Round 1,Finance,Email at 2:22pm - in with scholarship.
Columbia,3.82,332.0,Traditional Two-Year,,2023-02-24,Round 2,Non Profit / Social Impact,"Submitted 1/11, interviewed 1/14, feedback submitted 1/15, accepted 1/23"
Yale SOM,8.85,332.0,,India,2021-03-27,Round 2,Healthcare,Admitted with $!
Yale SOM,3.8,332.0,Traditional Two-Year,Los Angeles,2023-12-05,Round 1,Entrepreneurship,Interviewed on campus. Received $$$$
Harvard Business School,3.88,332.0,,Washington DC,2020-12-10,Round 1,Marketing,
Columbia,3.78,332.0,Traditional Two-Year,India,2022-09-02,Rolling Admissions,,"Received an admit finally to my dream school. This is my 3rd season applying and I’ve finally made it after 12 rejections over the last couple of years. Big thanks to the community. I’d like to give a shout out to Alex, Graham and Eliot for all they do on this site."
Stanford GSB,3.6,331.0,Traditional Two-Year,NYC,2023-12-05,Round 1,Consulting,
Columbia,3.65,331.0,Traditional Two-Year,Texas,2024-03-12,Round 2,Technology,"Got accepted to the MBAxMS program! Received email to check portal update at 1:36PM EST. Was not the email I was expecting today, still waiting on the fuqua call lol"
Yale SOM,3.5,331.0,,Los Angeles,2021-05-18,Round 1,Non Profit / Social Impact,"Waitlisted in R1, provided many many updates to admissions, and invited to interview with R3. Admitted today! SO THRILLED - my top choice school!"
Yale SOM,3.47,331.0,Traditional Two-Year,"New York, NY",2022-03-25,Round 2,Consulting,Accepted with Dean's Scholarship $$ & Fellowship!
MIT Sloan,3.45,331.0,Traditional Two-Year,Texas,2022-12-14,Round 1,Healthcare,Just got a call from adcom this morning (CT)! They said official notice will go out at 3pm ET
MIT Sloan,3.71,331.0,Traditional Two-Year,,2024-02-27,Round 1,Consulting,MIT LGO!!
Columbia,3.8,331.0,,,2020-02-26,Rolling Admissions,Consulting,Interview feedback submitted on 2/18
Berkeley / Haas,3.79,331.0,,Los Angeles,2020-12-15,Round 1,Non Profit / Social Impact,
Harvard Business School,3.8,331.0,,Texas,2020-12-10,Round 1,Consulting,
MIT Sloan,3.83,331.0,,New York,2020-12-17,Round 1,Other,
Columbia,3.91,331.0,Traditional Two-Year,New York,2023-12-13,Round 1,Finance,
MIT Sloan,3.9,331.0,,,2021-02-25,Round 1,Technology,"Applied to the LGO program (to the EECS department) during R1. Interviewed in the fall and was waitlisted. Just got the call that I was accepted today. I can't believe it, I'm so excited!!"
Yale SOM,3.69,331.0,Traditional Two-Year,,2024-03-26,Round 2,Consulting,
MIT Sloan,3.62,331.0,,Dallas,2020-03-31,Round 2,Consulting,Call from ad 11am est
Columbia,3.7,331.0,January Intake,India/US,2023-09-20,Rolling Admissions,Finance,
Harvard Business School,4.0,331.0,,Boston,2020-03-31,Round 2,Entrepreneurship,
Stanford GSB,3.7,331.0,Traditional Two-Year,Mid-West,2024-03-26,Round 2,Consulting,
Stanford GSB,3.7,331.0,Traditional Two-Year,Midwest,2024-03-26,Round 2,Consulting,
Yale SOM,3.6,331.0,Traditional Two-Year,New York City,2023-12-05,Round 1,Consulting,
Yale SOM,3.6,331.0,Traditional Two-Year,East Coast,2022-12-06,Round 1,,Accepted with scholarship. Super happy!
Columbia,3.34,331.0,Traditional Two-Year,,2024-03-20,Round 2,,Email about a portal update came 2:25EST
Yale SOM,3.9,331.0,,NYC,2018-12-05,Round 1,Entrepreneurship,Silver Scholars Program
Harvard Business School,3.7,331.0,Traditional Two-Year,,2024-03-27,Round 2,Consulting,Accepted to the MS/MBA program!
Columbia,3.81,331.0,Traditional Two-Year,,2022-02-01,Rolling Admissions,Non Profit / Social Impact,"Applied 12/30, interview invite 1/21, interview 1/26, accepted 1/31 — thrilled!"
Columbia,3.74,331.0,,Pennsylvania,2021-01-06,Rolling Admissions,Non Profit / Social Impact,"App finished 10/9, interviewed 12/29, feedback 12/30."
Columbia,3.0,331.0,Traditional Two-Year,Sputh,2022-02-24,Round 2,Finance,
Yale SOM,3.6,331.0,Traditional Two-Year,Alaska,2022-12-06,Round 1,Consulting,Received the call a 12:50 super excited got in with scholarship
Columbia,3.69,331.0,Traditional Two-Year,New York City,2024-03-20,Round 2,Consulting,No scholarship info included in portal letter
Yale SOM,3.94,331.0,,Nashville,2020-03-24,Round 2,Non Profit / Social Impact,40k/year scholarship
MIT Sloan,3.9,331.0,Deferred Enrollment,,2021-06-08,Round 5,Entrepreneurship,"Deferred enrollment program, saw portal update (no phone call yet though)"
MIT Sloan,3.6,331.0,Traditional Two-Year,New York,2023-12-12,Round 1,Consulting,
Harvard Business School,3.3,331.0,Traditional Two-Year,Nigeria,2023-03-29,Round 1,Consulting,Super excited to be accepted from the waitlist.
Stanford GSB,3.87,331.0,,Beijing,2020-12-09,Round 1,Marketing,
Berkeley / Haas,3.6,331.0,,"SF, Cal.",2019-12-11,Round 1,Non Profit / Social Impact,
Stanford GSB,3.88,331.0,Traditional Two-Year,"Orange County, CA",2023-12-05,Round 1,Technology,
MIT Sloan,3.7,331.0,Traditional Two-Year,Asia,2023-12-11,Round 1,Technology,I missed the call but called her back. It was my interviewer!
MIT Sloan,3.656,331.0,Traditional Two-Year,,2024-06-20,Round 2,Technology,"R2 WL, Accepted to Booth and Columbia as well"
Yale SOM,3.15,331.0,,Boston,2017-12-06,Round 1,Healthcare,
Columbia,3.9,331.0,,,2021-05-19,Rolling Admissions,Entrepreneurship,"Deferred admissions, interviewed 5/14, received call 1:30pm PST"
Columbia,3.8,331.0,,NY,2021-01-04,Round 1,Technology,
Yale SOM,3.56,331.0,Traditional Two-Year,,2023-03-24,Round 2,Consulting,
Harvard Business School,3.3,331.0,,USA,2021-03-30,Round 2,Technology,Asian-American male working in tech.
MIT Sloan,3.65,331.0,Traditional Two-Year,Alaska,2022-12-14,Round 1,Consulting,
Stanford GSB,3.6,331.0,,,2020-06-23,Round 3,,
Columbia,3.8,331.0,Traditional Two-Year,NY,2023-12-13,Round 1,,
MIT Sloan,3.47,331.0,Traditional Two-Year,"New York, NY",2022-04-04,Round 2,Technology,
