School,GPA,GRE,Program Type,Application Location,Date,Round,Post-MBA Career,Note
Yale SOM,3.5,327.0,Traditional Two-Year,,2022-03-27,Round 2,,"After getting waitlisted everywhere else, this is a welcome result! No scholarship but happy to have an admit over nothing. Are adcoms open to reevaluate scholarship decision?"
Berkeley / Haas,3.51,326.0,Traditional Two-Year,Texas,2024-03-19,Round 2,Consulting,So thrilled! No word on scholarship but based on R1 data it didn’t seem to populate until the actual decision day.
Stanford GSB,3.6,326.0,Traditional Two-Year,Asia,2023-03-28,Round 2,,Received call around 9 AM GMT +8 this morning the 29th. Beyond thrilled!
Columbia,3.65,326.0,Traditional Two-Year,California,2022-01-28,Rolling Admissions,Technology,
Yale SOM,3.91,326.0,Traditional Two-Year,Chicago,2022-03-25,Round 2,Technology,No email alert. I just checked portal around noon central and saw it's already updated.
Berkeley / Haas,3.7,326.0,Traditional Two-Year,USA,2022-03-14,Round 2,,Applied via CGSM 1/2/22. Interviewed 2/1/22. Offered the Consortium Fellowship on 3/14. Beyond excited!!!!!
Berkeley / Haas,3.75,326.0,Traditional Two-Year,Hong Kong,2024-03-21,Round 2,Other,"Got an email on Monday with a request to zoom with adcom! Terrified me, but was so happy it was such a lovely call with phenomenal news. Received scholarship not via consortium with update on portal today! Stoked!"
MIT Sloan,3.7,326.0,Traditional Two-Year,,2022-02-25,Round 2,,I was a round 2 LGO applicant. Received a call this morning.
Yale SOM,3.6,326.0,Traditional Two-Year,North East Asia,2023-03-24,Round 2,Consulting,I was announed at 11:16PM EST via email. More than happy to receive this wonderful news!! I never thought I would be accepted form such a prestigious and wonderful school. I hope everyone gets good news!
Berkeley / Haas,3.5,326.0,Traditional Two-Year,Miami,2023-05-12,Round 2,Entrepreneurship,Absolutely thrilled.
Berkeley / Haas,3.8,326.0,Traditional Two-Year,Japan,2022-03-23,Round 2,Technology,
Berkeley / Haas,3.61,326.0,Traditional Two-Year,SF Bay Area,2022-05-11,Rolling Admissions,Technology,I was a round 1 waitlist candidate and received an e-mail in the morning that there was an update to my application and was asked to schedule a phone call. I received the exciting news that I was accepted to the MBA/MEng program!
Stanford GSB,3.99,326.0,Traditional Two-Year,US,2023-12-05,Round 1,Consulting,Over the moon! Still in shock. Received call at 3pm CST.
Columbia,3.3,326.0,Traditional Two-Year,New York,2024-05-31,Round 1,,"R1 FE, interviewed in early Feb, waitlist in early April. Thrilling ending to a very lengthy process, and my top choice. Thanks to this forum for the context and guidance."
Harvard Business School,3.26,326.0,Traditional Two-Year,,2023-12-06,Round 1,Entrepreneurship,
Stanford GSB,3.77,326.0,Deferred Enrollment,NE USA,2024-05-25,Round 3,Non Profit / Social Impact,"Feeling very lucky!!! More on my profile: HYP undergrad, Pre-MBA Career: Hedge Fund, Female, URM"
Harvard Business School,3.63,326.0,Traditional Two-Year,United States,2022-12-08,Round 1,Entrepreneurship,Admitted to MS/MBA: Engineering Sciences!!
Harvard Business School,3.99,326.0,Traditional Two-Year,US,2023-12-06,Round 1,Consulting,I keep checking the portal to make sure it’s real. Was waiting for Ashton Kutcher to pop out from somewhere to tell me I’m being punk’d.
Berkeley / Haas,3.7,326.0,Traditional Two-Year,Los Angeles,2023-03-22,Round 2,Non Profit / Social Impact,Got call at 4 pm PT. Excited!
Yale SOM,3.4,326.0,Traditional Two-Year,"Austin, TX",2023-03-24,Round 2,Marketing,
